Tristan Autumn
Lennix Christian
Karayan Shade
Venkalth Victor
Seifer Vigil
Dominic Mock
Mitch Crowe
Karver Highmore
Zeph Steros
Bludwan Riddle
Sabre Gnash
Ragnor Black
Scias Winter
Zulu Craft
Gastly Villalobos
Quint Addington
Crowley Hart
Hamlet Killian
Chalice Digby
Tidus Whitmore
Nadir Fade
Victor Christanti
Marth Orlando
Payne Mallor
Labyrinth Breedlove
Vayne Skinner
Prysm Sangrey
Rexx Onyx
Ymo Wolf
Duke Victor
Ethel Keeling
Butler Pickerin
Drachen Darkmore
Caecilius Sangrey
Edge Pickerin
Zyler Delarosa
Drakkar Whisper
Gloom Periculum
Kapral Vexx
Jett Grimm
Ecthrois Church
Rogue Naxxremis
Nash Winter
Babbage Diablo
Lazarus Crane
Lexx Zul
Thor Crimson
Lexx Bloodgood
Ike Cross
Mace Le Blank
Keetes Vonner
Richard Chainsaw
Godfrey Wolfmoon
Edge Shackleton
Norrix Onyx
Lauden Cane
Camus Sephiran
Ridley Cloven
Raven Lovelace
Kragen Tenebris
Romulus Cross
Grumio Shackleton
Ridley Mallor
Riskel Black
Zayin Dread
Ark Krauss
Belzebob Cane
Arc Latimer
Alistair Zorander
Nadir Caligari
